"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","change"
-3.68822472147013,7.47432277026561,-9.5538014226843,2.01119803186611e-15,6.41421250432114e-13,24.6707455407869,"Sqstm1","Higher in Adult_Reinfected"
-3.66543681333719,8.39325612186579,-9.5273661377873,2.28585966745383e-15,7.13009633459076e-13,24.5459948589714,"Psap","Higher in Adult_Reinfected"
-3.39293063054105,6.54759014523547,-9.4854317151214,2.80055566431248e-15,8.47083223131365e-13,24.3480886525426,"Capzb","Higher in Adult_Reinfected"
-3.58596042193819,6.94821552047785,-9.48784475000119,2.76801917796864e-15,8.47083223131365e-13,24.3594771761691,"Nfib","Higher in Adult_Reinfected"
-3.36833786640078,8.36511613076089,-9.47620513750217,2.92853043732494e-15,8.72570942094296e-13,24.3045426378791,"Ly6e","Higher in Adult_Reinfected"
-3.50181496674847,7.1112315405851,-9.46490910618135,3.09320023278964e-15,8.82136517816851e-13,24.2512287652892,"Gdi2","Higher in Adult_Reinfected"
-3.63145209155884,7.08370201487956,-9.4674980190742,3.05466016172537e-15,8.82136517816851e-13,24.2634477307129,"Hnrnpab","Higher in Adult_Reinfected"
-3.92085718957401,9.56564317383896,-9.46587396599258,3.0787802398476e-15,8.82136517816851e-13,24.255782646484,"Mgp","Higher in Adult_Reinfected"
-4.05426702245258,8.77352251338066,-9.44879244709679,3.34430341739208e-15,9.4031449466758e-13,24.1751615894354,"Cst3","Higher in Adult_Reinfected"
-3.71353790553338,7.22582141154853,-9.44418930283946,3.41969512182736e-15,9.48157968292216e-13,24.1534354633086,"Lgmn","Higher in Adult_Reinfected"
-3.02490889599801,6.31364372981676,-9.42162551364725,3.81457192372346e-15,1.04315478511358e-12,24.0469363766533,"Junb","Higher in Adult_Reinfected"
-3.64279898130709,6.95238487317099,-9.409080079252,4.05352473403144e-15,1.04560772991198e-12,23.9877221166599,"Ddb1","Higher in Adult_Reinfected"
-3.80633244264002,8.82049529147598,-9.40951268878629,4.04504084063785e-15,1.04560772991198e-12,23.9897640363746,"Ftl1","Higher in Adult_Reinfected"
-3.78136779340961,8.74222292166964,-9.41220472315541,3.99264504314895e-15,1.04560772991198e-12,24.0024704413197,"H3f3b","Higher in Adult_Reinfected"
-3.93580820931254,7.96525503730111,-9.41345298481583,3.96858064735382e-15,1.04560772991198e-12,24.0083622291416,"Itgb1","Higher in Adult_Reinfected"
-3.47948371189275,7.84113006210219,-9.40746132802629,4.085428188806e-15,1.04560772991198e-12,23.9800815952802,"Rpl38","Higher in Adult_Reinfected"
-3.42382931246417,7.92264184802746,-9.39696408220446,4.29849762318211e-15,1.07263635064481e-12,23.9305343001852,"Cd63","Higher in Adult_Reinfected"
-3.68202916783878,7.14133614607945,-9.39792999784789,4.27843615413314e-15,1.07263635064481e-12,23.9350934622179,"Vamp8","Higher in Adult_Reinfected"
-3.75472035998988,8.32096070775387,-9.37970005076159,4.67335318534223e-15,1.11064463855937e-12,23.8490469878877,"Rplp1","Higher in Adult_Reinfected"
-3.16245451054817,7.0537265069475,-9.38076093438445,4.64940327956516e-15,1.11064463855937e-12,23.8540544424031,"Spcs1","Higher in Adult_Reinfected"
-4.13396080969907,8.32055412059234,-9.38277871628336,4.60418918543896e-15,1.11064463855937e-12,23.8635785269844,"Sptbn1","Higher in Adult_Reinfected"
-4.15539238547936,7.74834588806651,-9.38079470260067,4.64864296640161e-15,1.11064463855937e-12,23.8542138310201,"Sod1","Higher in Adult_Reinfected"
-3.48805892201966,7.78381313753285,-9.37637239780281,4.74927971127202e-15,1.11541024560145e-12,23.8333401912065,"Aldoa","Higher in Adult_Reinfected"
3.39411352399898,4.84637455627378,9.36919667667329,4.91723125794155e-15,1.1414266000266e-12,23.7994701422656,"Vmn1r113","Higher in Neonate_Reinfected_NO_IFN"
3.28120833614686,4.69741257598078,9.34725106101174,5.46863941560073e-15,1.25483274314526e-12,23.6958846097687,"Gm10662","Higher in Neonate_Reinfected_NO_IFN"
-3.75951113260029,8.03377371656684,-9.32584648581792,6.06596043180671e-15,1.37607691022906e-12,23.5948529169527,"Arf1","Higher in Adult_Reinfected"
-3.40112793634387,6.85990318542754,-9.31739541838468,6.31938133974147e-15,1.41110458569869e-12,23.5549631940863,"Srrm2","Higher in Adult_Reinfected"
-3.77935271306432,8.49622241569727,-9.31601597878606,6.36173985437471e-15,1.41110458569869e-12,23.5484521391872,"Tmbim6","Higher in Adult_Reinfected"
-3.58754387890744,6.87197470368413,-9.31219574001022,6.48053569855092e-15,1.42165861703486e-12,23.5304203550334,"Actn1","Higher in Adult_Reinfected"
-3.72451865674943,7.81506146013257,-9.2923505307217,7.13428348774159e-15,1.54806197028028e-12,23.4367502117256,"Crip2","Higher in Adult_Reinfected"
-3.35588271183045,6.89762948832083,-9.28398618835306,7.42920655766414e-15,1.58333414694601e-12,23.397270561222,"Clta","Higher in Adult_Reinfected"
-3.505216312215,7.52365170621055,-9.28325768760103,7.45546309737641e-15,1.58333414694601e-12,23.3938320536888,"Eif4h","Higher in Adult_Reinfected"
-3.7428067498694,8.83470234518831,-9.27768266653564,7.65949318566537e-15,1.6095417101625e-12,23.3675181457467,"Ptms","Higher in Adult_Reinfected"
-4.20123654002745,8.36660480720497,-9.27444628414704,7.78048685052783e-15,1.61793603121966e-12,23.3522425905796,"Fhl1","Higher in Adult_Reinfected"
