"feature.feature","feature.group","feature.avgExpr","feature.logFC","feature.statistic","feature.auc","feature.pval","feature.padj","feature.pct_in","feature.pct_out"
"Lcn2","1",0.557725667606009,0.267456803229415,20883211558.3672,0.537561649120274,0,0,19.2904328544371,13.1267709230113
"Ms4a6b","1",0.410115581407307,0.317596506863229,21762264960,0.5601896531955,0,0,16.0308587795076,4.21009520147775
"Selplg","1",0.39378048561891,0.273147844204157,21465289533.5,0.552545110612988,0,0,15.9541737885157,5.7789553748297
"Tyrobp","1",0.424014411229657,0.244524347151781,21230418955,0.546499229444021,0,0,16.9566221647341,7.97580539558624
"Uba52","1",1.33638983667647,0.376377895340067,22236967011.5898,0.57240911556029,0,0,47.4818681572504,39.0278694873274
"Angpt1","10",1.41285782597521,1.33122968109258,689594,0.738076788053669,0.000602341840801488,0.0400356543519389,50,4.01150793311014
"Apoa1","10",1.51283586907631,1.45588127041469,693447.5,0.742201213299198,2.6425464016809e-05,0.00329327345309482,50,2.73120756235604
"Cpb1","10",1.51283586907631,1.43783834028574,691064.5,0.739650673436711,0.000298777834248644,0.0248234583954915,50,3.64417881821062
"Cuzd1","10",1.51283586907631,1.46453159057949,694545,0.74337587444023,5.45273599104526e-06,0.0011477377208904,50,2.34675354699501
"Fzd1","10",1.51283586907631,1.44836055309863,692514,0.741202082387896,7.82817652989046e-05,0.00709517454572799,50,3.07713055167867
"Il17a","10",1.41285782597521,1.38502315009661,696782,0.745770149586006,5.39453235172051e-10,5.37834875466534e-07,50,1.27002543047719
"Itm2a","10",1.51283586907631,1.4574855344563,693665.5,0.742434540067986,2.59199699580668e-05,0.00329327345309482,50,2.73077943984451
"Mst1r","10",1.51283586907631,1.45586279460685,693388.5,0.742138065228746,4.02265353754197e-05,0.00440872702529072,50,2.86285523465395
"Nlrc4","10",1.51283586907631,1.46861053414114,695057.5,0.743924406408138,2.20728444663514e-06,0.000733554197765077,50,2.1710092560087
"Pdgfc","10",1.41285782597521,1.35583707790782,692987.5,0.741708872410929,4.42199300430363e-05,0.00440872702529072,50,2.88404729897507
"Ptgds","10",1.51283586907631,1.42821999176933,689838,0.738337942785708,0.000518052238707584,0.0386526620876224,50,3.92310063447756
"Serpina3a","10",1.41285782597521,1.36860632540163,694601,0.743435811591845,2.18369367422239e-06,0.000733554197765077,50,2.16009213196448
"Thbs1","10",2.92569369505152,2.70329360975744,923747.5,0.988692749317145,6.28550948437469e-06,0.0011477377208904,100,10.4119394806018
"Tnfrsf9","10",2.92569369505152,2.51649944702079,915494.6796875,0.979859703918498,0.000542765565924487,0.0386526620876224,100,18.6659274417967
