"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Prss34","Prss34","neonate",0.162078578404351,0.110549749136502,32662.5,0.512328831584396,0.0807525760506518,0.269989426304757,3.71747211895911,1.26582278481013
"Icam2","Icam2","neonate",0.438770478951552,0.110466848708308,32743.5,0.513599360030116,0.299019395438089,0.560380333180028,10.7806691449814,8.0168776371308
"Cxcr1","Cxcr1","neonate",0.276492732815077,0.109808521476663,32680,0.512603328470817,0.231937707168606,0.474829351226079,7.0631970260223,4.64135021097046
"Camp","Camp","neonate",0.124293967880087,0.109637773604805,32694,0.512822925979954,0.029680550136253,0.153323878164996,2.97397769516729,0.421940928270042
"Ifit1","Ifit1","neonate",0.434043069552357,0.109107400585613,32664,0.512352359888946,0.350029581526835,0.609039254419292,10.7806691449814,8.43881856540084
"Ifih1","Ifih1","neonate",0.467309212793479,0.10890910256736,32723,0.513277806534594,0.327988176464263,0.595636087313061,11.5241635687732,8.86075949367089
"Notch3","Notch3","neonate",0.224119231334931,0.108862894879011,32819,0.514783618025818,0.111764383129044,0.317461794813837,5.94795539033457,2.9535864978903
"Vwa1","Vwa1","neonate",0.28961001504932,0.107343718088617,32665,0.512368045425313,0.240774649956292,0.48205847590618,7.0631970260223,4.64135021097046
"Prdm1","Prdm1","neonate",0.314727258514823,0.107314206793395,32752.5,0.513740529857418,0.225231408658496,0.466851797157007,8.17843866171004,5.48523206751055
"Wnt11","Wnt11","neonate",0.475872619277555,0.106762371309313,32725.5,0.513317020375512,0.334696912540382,0.596154938186768,11.8959107806691,9.28270042194093
"Myl12a","Myl12a","neonate",1.06988452623036,0.105666960726958,32710.5,0.513081737330008,0.50105447068707,0.731078989901634,26.0223048327138,22.7848101265823
"Sh3bgrl3","Sh3bgrl3","neonate",1.23374579972119,0.105466530741217,32707.5,0.513034680720907,0.523026916845452,0.747392517913689,28.996282527881,27.0042194092827
"Ifngr2","Ifngr2","neonate",0.616482538299435,0.10502319900085,32575,0.510956347152291,0.481247662785308,0.718027597594804,14.8698884758364,13.0801687763713
"Hdac4","Hdac4","neonate",0.523215321504028,0.10463322619817,32751,0.513717001552868,0.339307493606533,0.600331186115704,13.0111524163569,10.126582278481
"Plac8","Plac8","neonate",0.513009839234201,0.104182399422405,32693,0.512807240443587,0.361297610417516,0.616163720107304,12.2676579925651,9.70464135021097
"Ccdc80","Ccdc80","neonate",0.240544515877157,0.102338001821859,32799,0.51446990729848,0.134656653470811,0.351446815472246,6.31970260223048,3.37552742616034
"Map1lc3b","Map1lc3b","neonate",0.673165282453538,0.102234039797595,32604.5,0.511419070475115,0.480530750064262,0.718027597594804,16.3568773234201,14.3459915611814
"Psca","Psca","neonate",0.302617263152823,0.101753385708204,32653,0.51217981898891,0.262387996058619,0.514962267855203,7.43494423791822,5.06329113924051
"H2-Eb1","H2-Eb1","neonate",2.09217691365168,0.101581250928076,32767.5,0.513975812902922,0.547023169198695,0.760814264823686,43.1226765799257,42.1940928270042
"Naca","Naca","neonate",1.51100783160403,0.101103948009857,32427.5,0.508642730538171,0.69159835175414,0.847080536485108,35.6877323420074,32.4894514767932
"Ephb4","Ephb4","neonate",0.225465260936391,0.100534162955752,32707,0.513026837952724,0.152347968385,0.375967634851101,5.57620817843866,2.9535864978903
"Sec61g","Sec61g","neonate",1.42098408927235,0.10052864389931,32631.5,0.511842579957022,0.581038378372352,0.78170996129126,33.8289962825279,31.2236286919831
"Il20","Il20","neonate",0.57729165114184,0.100209858721544,32698.5,0.512893510893605,0.389251113237275,0.645729384188958,14.1263940520446,11.3924050632911
"Ptgis","Ptgis","neonate",0.20143633903087,0.100199548145973,32725.5,0.513317020375512,0.125637440261605,0.335366650592183,5.20446096654275,2.53164556962025
"Adgra3","Adgra3","neonate",0.194877368916517,0.0993699486487077,32732.5,0.51342681913008,0.122547384162121,0.333824431720313,5.20446096654275,2.53164556962025
"Fzd6","Fzd6","neonate",0.212333041352817,0.0993500271009127,32610.5,0.511513183693316,0.195890717124805,0.437899203976302,5.20446096654275,2.9535864978903
"Serpinb5","Serpinb5","neonate",0.157726274052572,0.0991309671135656,32538.5,0.510383825074898,0.156023282104292,0.381262775142105,3.71747211895911,1.68776371308017
"Txk","Txk","neonate",0.484700999760975,0.0989500472538552,32611,0.5115210264615,0.4000727913748,0.661480220564969,11.5241635687732,9.28270042194093
"Col6a1","Col6a1","neonate",0.322575395556256,0.0986229718205888,32632.5,0.511858265493389,0.301642242045836,0.56317849310805,8.17843866171004,5.90717299578059
"Rela","Rela","neonate",0.672461636499947,0.0971728614915773,32579,0.511019089297759,0.496047380370384,0.728364121103494,16.3568773234201,14.3459915611814
"Il11ra1/2","Il11ra1/2","neonate",0.580372243498988,0.0969121075306586,32639.5,0.511968064247957,0.427264352961815,0.68621576120119,14.1263940520446,11.8143459915612
"Gata3","Gata3","neonate",0.485362214192288,0.0968814383749502,32678.5,0.512579800166267,0.362158415228566,0.616163720107304,11.8959107806691,9.28270042194093
"Kir3dl1/2","Kir3dl1/2","neonate",0.40482275370014,0.0967641911815265,32731.5,0.513411133593713,0.296460441059214,0.556630997619655,10.4089219330855,7.59493670886076
"Ighd","Ighd","neonate",0.528115254258623,0.095479511368889,32597.5,0.511309271720547,0.430863657484398,0.68621576120119,12.639405204461,10.5485232067511
"Clec1a","Clec1a","neonate",0.300629838652231,0.0948658199068098,32612,0.511536711997867,0.288440421054731,0.546840564659772,7.43494423791822,5.06329113924051
"Best1","Best1","neonate",0.171374015465565,0.0946282707418881,32630,0.511819051652471,0.141616768205985,0.358355121577073,4.46096654275093,2.10970464135021
"Lyn","Lyn","neonate",0.228775467442786,0.094345792598478,32683.5,0.512658227848101,0.182129174793219,0.41552125233144,5.94795539033457,3.37552742616034
"Clec14a","Clec14a","neonate",0.516380015752275,0.0943205962809427,32606.5,0.511450441547849,0.425129197815672,0.68621576120119,12.639405204461,10.5485232067511
"Ccl20","Ccl20","neonate",0.375301610899697,0.0932869984917576,32479,0.509450535661067,0.438249256604616,0.690115966312372,8.92193308550186,7.17299578059072
"Col27a1","Col27a1","neonate",0.243504940564468,0.0927415459719697,32575,0.510956347152291,0.274842808659122,0.530016015924845,6.31970260223048,4.21940928270042
"Cx3cl1","Cx3cl1","neonate",0.39444489147333,0.0926941890185787,32657.5,0.512250403902561,0.335449268127158,0.596154938186768,10.0371747211896,7.59493670886076
"Wnt5a","Wnt5a","neonate",0.299229426843061,0.0925068454778095,32525,0.510172070333945,0.356248200315886,0.61243602479695,7.43494423791822,5.48523206751055
