"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Ephb4","Ephb4","neonate",0.311975761901036,0.163079444610348,7671,0.518871753246753,0.237790934067823,0.815186708687942,7.79220779220779,4.16666666666667
"Nosip","Nosip","neonate",0.773546349424506,0.162273338183846,7680,0.519480519480519,0.440186150861264,0.899703164275449,19.4805194805195,15.625
"Csf1r","Csf1r","neonate",0.225580084454705,0.159539499309745,7678,0.519345238095238,0.148522056532568,0.693642042142238,5.84415584415584,2.08333333333333
"Il18","Il18","neonate",0.264725520880056,0.159443563171432,7654,0.517721861471861,0.221619111155789,0.809356241107406,6.49350649350649,3.125
"Il2rg","Il2rg","neonate",1.47558388249356,0.159075924425149,7672.5,0.518973214285714,0.550831100269374,0.92479193348348,35.0649350649351,32.2916666666667
"H2-M3","H2-M3","neonate",1.54604746877747,0.157859521694531,7633,0.516301406926407,0.614623426551869,0.934064862248374,37.6623376623377,33.3333333333333
"Tyk2","Tyk2","neonate",0.499516668519203,0.157267398937488,7691.5,0.520258387445887,0.333559789598707,0.837626271106119,12.987012987013,9.375
"Cd69","Cd69","neonate",1.00060233382745,0.157023688775835,7673.5,0.519040854978355,0.491634389697599,0.92479193348348,24.025974025974,20.8333333333333
"Itga2","Itga2","neonate",0.235698797223291,0.156981212553588,7671,0.518871753246753,0.158731626744823,0.693642042142238,5.84415584415584,2.08333333333333
"Cd164","Cd164","neonate",0.816137342459019,0.156391277600862,7654,0.517721861471861,0.490260076965715,0.92479193348348,20.1298701298701,16.6666666666667
"Col17a1","Col17a1","neonate",0.26821177578966,0.156097314245286,7693.5,0.520393668831169,0.174322983946525,0.718181880143328,7.14285714285714,3.125
"Atp5e","Atp5e","neonate",1.00273267363396,0.15460319716949,7693,0.520359848484849,0.462075006455201,0.910452137224972,24.6753246753247,19.7916666666667
"Icos","Icos","neonate",0.42918920783236,0.15431121387484,7676.5,0.519243777056277,0.31769293743334,0.833817867077649,11.038961038961,7.29166666666667
"Dusp6","Dusp6","neonate",0.74195843003321,0.153708486518493,7639,0.516707251082251,0.491769189261768,0.92479193348348,17.5324675324675,14.5833333333333
"Bid","Bid","neonate",0.197674302498861,0.152766033371101,7695,0.52049512987013,0.0918882164797974,0.659083106693223,5.19480519480519,1.04166666666667
"Ramp3","Ramp3","neonate",0.262518947476231,0.152524008471629,7649,0.517383658008658,0.230580666516886,0.813148825964052,6.49350649350649,3.125
"Hcar2","Hcar2","neonate",0.398437148539988,0.152063730862213,7606.5,0.514508928571429,0.433527101371206,0.898608460023035,9.74025974025974,7.29166666666667
"Prf1","Prf1","neonate",0.847023323586013,0.151726690449766,7643,0.516977813852814,0.515689800635691,0.92479193348348,20.7792207792208,17.7083333333333
"Isg15","Isg15","neonate",0.260279220982097,0.149873806809313,7647,0.517248376623377,0.234236460592833,0.813706450212734,6.49350649350649,3.125
"Lamp3","Lamp3","neonate",0.422035069163879,0.14906921730768,7636,0.516504329004329,0.382477720493688,0.896923893371439,10.3896103896104,7.29166666666667
"Fzd4","Fzd4","neonate",0.296387943571824,0.148973490448481,7626,0.515827922077922,0.307656011535055,0.833817867077649,7.14285714285714,4.16666666666667
"Itga6","Itga6","neonate",0.931036683065343,0.148301470402351,7644.5,0.517079274891775,0.52293479267269,0.92479193348348,22.0779220779221,18.75
"Ttn","Ttn","neonate",0.34887153290656,0.147671433856989,7679.5,0.519446699134199,0.26132472245218,0.833817867077649,9.09090909090909,5.20833333333333
"Rnf43","Rnf43","neonate",0.349477075719004,0.147377373658201,7693,0.520359848484849,0.215611135327989,0.798145413465066,8.44155844155844,4.16666666666667
"Il12a","Il12a","neonate",0.263493583334602,0.14581554413604,7646,0.517180735930736,0.236079678202199,0.815186708687942,6.49350649350649,3.125
"Tnfsf10","Tnfsf10","neonate",0.377089377898103,0.145221847844099,7705.5,0.521205357142857,0.231517916724056,0.813148825964052,9.74025974025974,5.20833333333333
"Areg","Areg","neonate",1.52021499157027,0.144625654631448,7620,0.515422077922078,0.631572799237267,0.935833273718085,37.012987012987,32.2916666666667
"Ube2c","Ube2c","neonate",0.309923431100524,0.144310353148086,7663,0.518330627705628,0.251540622884993,0.833817867077649,7.79220779220779,4.16666666666667
"Ikzf3","Ikzf3","neonate",0.839826470738397,0.144136433800911,7649.5,0.517417478354978,0.508243101476777,0.92479193348348,21.4285714285714,17.7083333333333
"Tpm1","Tpm1","neonate",1.00790490715686,0.142162490056322,7654.5,0.517755681818182,0.526755636924369,0.92479193348348,25.3246753246753,20.8333333333333
"Itgal","Itgal","neonate",1.31342508739516,0.14087467236504,7645,0.517113095238095,0.575349843070101,0.92479193348348,31.8181818181818,27.0833333333333
"Dpp4","Dpp4","neonate",0.528042118619489,0.140517164766375,7648.5,0.517349837662338,0.421344069130231,0.898608460023035,13.6363636363636,10.4166666666667
"Ramp2","Ramp2","neonate",0.579918176009802,0.139708212213912,7603.5,0.514306006493506,0.513324026370102,0.92479193348348,13.6363636363636,11.4583333333333
"Itgav","Itgav","neonate",0.287045236774213,0.139540646715352,7669,0.518736471861472,0.241177540878356,0.819541458858189,7.79220779220779,4.16666666666667
"Sigirr","Sigirr","neonate",0.452153048118251,0.134882930239545,7617,0.515219155844156,0.438037825046334,0.898608460023035,11.038961038961,8.33333333333333
"Myl7","Myl7","neonate",0.167479688271713,0.134448549086016,7652.5,0.5176204004329,0.125156859452004,0.693642042142238,4.54545454545455,1.04166666666667
"Vegfd","Vegfd","neonate",0.662276488458296,0.134015994358345,7638,0.51663961038961,0.484492961506256,0.92479193348348,16.8831168831169,13.5416666666667
"Fzd3","Fzd3","neonate",0.574369481922288,0.132852895947572,7646.5,0.517214556277056,0.443330074898308,0.900197454237231,14.9350649350649,11.4583333333333
"Cxcl5","Cxcl5","neonate",0.271794669807426,0.132768267679903,7626,0.515827922077922,0.307656011535055,0.833817867077649,7.14285714285714,4.16666666666667
"Wnt5b","Wnt5b","neonate",0.283735101787695,0.13143808628716,7621,0.515489718614719,0.318130048838988,0.833817867077649,7.14285714285714,4.16666666666667
"Akt1","Akt1","neonate",0.993819017193697,0.130977851194321,7631,0.516166125541126,0.561988999212454,0.92479193348348,24.6753246753247,20.8333333333333
"Il1rl1","Il1rl1","neonate",0.1718717245877,0.130760838029093,7650.5,0.517485119047619,0.128087499255066,0.693642042142238,4.54545454545455,1.04166666666667
"H2-DMb2","H2-DMb2","neonate",0.315991088211821,0.130664970815372,7648,0.517316017316017,0.278794104675786,0.833817867077649,7.79220779220779,4.16666666666667
"Hsp90aa1","Hsp90aa1","neonate",1.00517635128505,0.130598829098757,7623,0.515625,0.572672239017453,0.92479193348348,24.6753246753247,19.7916666666667
"Relt","Relt","neonate",0.915675922375941,0.13051242352063,7629.5,0.516064664502164,0.553784108971158,0.92479193348348,22.7272727272727,19.7916666666667
"Flt3","Flt3","neonate",0.926139660747089,0.130169634609373,7643,0.516977813852814,0.534309959345393,0.92479193348348,23.3766233766234,19.7916666666667
"Apod","Apod","neonate",0.375490966606473,0.130030908754199,7650,0.517451298701299,0.335768227087044,0.837626271106119,9.74025974025974,6.25
"Eng","Eng","neonate",0.758742267889958,0.128931987170979,7618,0.515286796536797,0.541221246853023,0.92479193348348,18.8311688311688,15.625
"Htt","Htt","neonate",1.23334789182494,0.128781001522571,7631.5,0.516199945887446,0.594281432050654,0.92822662642494,30.5194805194805,28.125
"Mcpt8","Mcpt8","neonate",0.283970049766235,0.128116907012538,7619,0.515354437229437,0.322382128796545,0.833817867077649,7.14285714285714,4.16666666666667
"Kdr","Kdr","neonate",0.82375544675053,0.127944655114939,7611,0.514813311688312,0.570735014401265,0.92479193348348,20.7792207792208,17.7083333333333
"Esr1","Esr1","neonate",0.983263361721628,0.127430167793982,7661.5,0.518229166666667,0.518389567503889,0.92479193348348,25.3246753246753,21.875
"Tnfrsf1a","Tnfrsf1a","neonate",0.387812488952564,0.127153378940897,7608,0.51461038961039,0.410076306094171,0.898608460023035,9.09090909090909,6.25
"Cd209a","Cd209a","neonate",0.24391011048694,0.126250660040013,7643,0.516977813852814,0.241670199502816,0.819541458858189,6.49350649350649,3.125
"Klrk1","Klrk1","neonate",0.617587615165408,0.125492333113367,7635.5,0.516470508658009,0.484208513017811,0.92479193348348,16.2337662337662,13.5416666666667
"Qrfpr","Qrfpr","neonate",0.812143257228544,0.125188973619535,7629.5,0.516064664502164,0.535240078396113,0.92479193348348,20.7792207792208,16.6666666666667
"Ackr1","Ackr1","neonate",0.323653276405435,0.124044062683287,7627.5,0.515929383116883,0.345672783608201,0.846770922008297,8.44155844155844,5.20833333333333
"Angpt1","Angpt1","neonate",0.322533814005918,0.123694564971961,7631.5,0.516199945887446,0.337525350780401,0.837626271106119,8.44155844155844,5.20833333333333
"Agr2","Agr2","neonate",0.236212340678566,0.12270927624744,7599.5,0.514035443722944,0.31491358316611,0.833817867077649,5.84415584415584,3.125
"Mb","Mb","neonate",0.980266210912665,0.122678463122966,7621.5,0.515523538961039,0.577670379989577,0.92479193348348,24.6753246753247,20.8333333333333
"Tnfsf13","Tnfsf13","neonate",0.308051300500382,0.120954671409843,7590,0.513392857142857,0.415734726529053,0.898608460023035,7.79220779220779,5.20833333333333
"Fau","Fau","neonate",2.35839161446118,0.120798157854512,7400.5,0.500574945887446,0.987829157965038,0.998740198688732,53.8961038961039,48.9583333333333
"Il6ra","Il6ra","neonate",0.559367044409553,0.119199337713081,7646,0.517180735930736,0.432257677863973,0.898608460023035,14.2857142857143,10.4166666666667
"Il17d","Il17d","neonate",0.192077985177995,0.11875941219767,7579,0.51264880952381,0.298725609215176,0.833817867077649,4.54545454545455,2.08333333333333
"Tgfb3","Tgfb3","neonate",0.33078255810793,0.118034887936997,7628.5,0.515997023809524,0.343624612239224,0.846770922008297,8.44155844155844,5.20833333333333
"Bcl6","Bcl6","neonate",0.361842822358466,0.117891153692762,7565,0.51170183982684,0.499590960310125,0.92479193348348,8.44155844155844,6.25
"Smad3","Smad3","neonate",1.12383412677378,0.116846582136099,7639,0.516707251082251,0.573616090610404,0.92479193348348,28.5714285714286,26.0416666666667
"Mif","Mif","neonate",1.83450921008083,0.116634593293305,7536.5,0.50977408008658,0.774469485420427,0.969475277042459,44.1558441558442,41.6666666666667
"Ifit3/b","Ifit3/b","neonate",0.478648068803862,0.11597277099372,7545,0.510349025974026,0.616459185344901,0.934064862248374,11.6883116883117,10.4166666666667
"Cfd","Cfd","neonate",0.843159878757935,0.114894727089535,7618,0.515286796536797,0.561586058378415,0.92479193348348,21.4285714285714,17.7083333333333
"Cd53","Cd53","neonate",1.15594830120217,0.112667584717803,7563.5,0.511600378787879,0.690094088079344,0.94748468717838,27.9220779220779,22.9166666666667
"Mfap5","Mfap5","neonate",0.157569880562362,0.112432343320418,7602,0.514204545454545,0.187409206307373,0.752981809943045,3.8961038961039,1.04166666666667
"Ly75","Ly75","neonate",1.42743567846778,0.112341265393878,7641,0.516842532467532,0.593768531179163,0.92822662642494,33.7662337662338,32.2916666666667
"Sox9","Sox9","neonate",0.150237133986828,0.111513357712174,7604,0.514339826839827,0.183232709554797,0.739607333709038,3.8961038961039,1.04166666666667
"Tnfrsf10b","Tnfrsf10b","neonate",0.353543333692514,0.109973234786667,7602,0.514204545454545,0.423233508030735,0.898608460023035,9.09090909090909,6.25
"Irf4","Irf4","neonate",0.396397518381497,0.109819971787793,7575.5,0.512412067099567,0.503036035830174,0.92479193348348,9.74025974025974,7.29166666666667
"Pdgfa","Pdgfa","neonate",0.189787154707131,0.107725277947377,7619,0.515354437229437,0.230251343210829,0.813148825964052,5.19480519480519,2.08333333333333
"Cxcl17","Cxcl17","neonate",0.867224408542152,0.107470100854471,7567,0.511837121212121,0.658226979125058,0.940189538950835,21.4285714285714,19.7916666666667
"Inhbb","Inhbb","neonate",1.12205279189613,0.107388566385505,7555,0.511025432900433,0.706290451916123,0.94748468717838,27.2727272727273,25
"Psap","Psap","neonate",1.93909052246958,0.106920435170242,7500,0.507305194805195,0.831769993570828,0.974470838531275,46.1038961038961,41.6666666666667
"Gcg","Gcg","neonate",0.519786875930213,0.10687750392467,7589,0.513325216450216,0.531248724928376,0.92479193348348,12.987012987013,10.4166666666667
"Tlr3","Tlr3","neonate",0.176651690640405,0.10508977457206,7575,0.512378246753247,0.30920941454766,0.833817867077649,4.54545454545455,2.08333333333333
"Pdgfb","Pdgfb","neonate",0.256689026474956,0.104631299969787,7570,0.512040043290043,0.423088491340727,0.898608460023035,6.49350649350649,4.16666666666667
"Atg12","Atg12","neonate",0.443828262184026,0.10441654922303,7586,0.513122294372294,0.503863095801916,0.92479193348348,11.038961038961,8.33333333333333
"Adgrg3","Adgrg3","neonate",0.490687566865866,0.104404470042138,7587,0.513189935064935,0.535436350553371,0.92479193348348,12.987012987013,10.4166666666667
"Cd38","Cd38","neonate",0.396871952192123,0.104017375288443,7616,0.515151515151515,0.422779470011483,0.898608460023035,10.3896103896104,7.29166666666667
"Il10ra","Il10ra","neonate",0.870309266669394,0.103783885519949,7583,0.512919372294372,0.629150513110508,0.935833273718085,21.4285714285714,19.7916666666667
"Cystm1","Cystm1","neonate",0.355849509452758,0.103278127744217,7599,0.514001623376623,0.429903723821753,0.898608460023035,9.09090909090909,6.25
"Ifitm1","Ifitm1","neonate",0.446513718814355,0.101194393173987,7579.5,0.51268262987013,0.532520437259403,0.92479193348348,11.6883116883117,9.375
"Anxa2","Anxa2","neonate",0.441562612062039,0.100203653125125,7556,0.511093073593074,0.565122310357922,0.92479193348348,10.3896103896104,8.33333333333333
"Fos","Fos","neonate",0.296538810878623,0.100106505230751,7581,0.512784090909091,0.43730228681221,0.898608460023035,7.79220779220779,5.20833333333333
"Ccl9","Ccl9","neonate",0.254362724145857,0.0999005545184305,7574,0.512310606060606,0.412713433847809,0.898608460023035,6.49350649350649,4.16666666666667
"Twist1","Twist1","neonate",0.099880558433552,0.099880558433552,7584,0.512987012987013,0.113084109523456,0.693642042142238,2.5974025974026,0
"Adipoq","Adipoq","neonate",0.207323185555347,0.0990416436481295,7553,0.510890151515151,0.416671376551,0.898608460023035,5.19480519480519,3.125
"Col27a1","Col27a1","neonate",0.0978363775017073,0.0978363775017073,7584,0.512987012987013,0.113084109523456,0.693642042142238,2.5974025974026,0
