"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Dusp1","Dusp1","neonate",0.623543424464363,0.264160597202091,230136,0.531136190542131,0.000810701879346563,0.0197138969197201,14.8018648018648,8.51485148514852
"Abl1","Abl1","neonate",0.673177740908309,0.26256599636291,230088.5,0.531026564194881,0.00146738592604621,0.0292987196951782,16.2004662004662,10.0990099009901
"Col6a2","Col6a2","neonate",0.459067012258694,0.239427974327373,228149.5,0.526551501303977,0.000931731151059767,0.0216031618048044,10.8391608391608,5.74257425742574
"Jun","Jun","neonate",0.459958293359088,0.204825285392072,227924,0.526031064644926,0.001437727464591,0.0292987196951782,11.3053613053613,5.94059405940594
"Il12b","Il12b","neonate",0.411319109243295,0.192586223381301,226739.5,0.523297329732973,0.00263100379029172,0.045779050992289,10.02331002331,5.34653465346535
"Col6a1","Col6a1","neonate",0.337790398078212,0.184310664803313,226432,0.522587643379723,0.00119721908303979,0.0265250539064592,8.27505827505827,3.76237623762376
"Tagln","Tagln","neonate",0.274810447043326,0.17299658487672,225827,0.521191349904221,0.000573296932209629,0.0154480281462973,6.64335664335664,2.37623762376238
"Ifit3/b","Ifit3/b","neonate",0.245294142355136,0.160109607449795,224757.5,0.518723026148769,0.00161315444557986,0.0308779072200128,6.06060606060606,2.37623762376238
"Il17d","Il17d","neonate",0.194608772212096,0.139011387104651,224007,0.516990929862217,0.00102027063989282,0.0231184051812079,4.77855477855478,1.38613861386139
"Ptprc","Ptprc","neonate",4.53683016343898,-0.112071474394632,192015,0.443155854046943,0.000448837742102211,0.0127854636821687,100,100
"Ccl2","Ccl2","neonate",0.177804348985951,-0.161671523690457,207955.5,0.47994530222253,0.00266218567173648,0.045779050992289,4.54545454545455,8.51485148514852
"Igkc","Igkc","neonate",4.71775488938626,-0.179639280518692,193127.5,0.445723418495696,0.000780443097571303,0.0197138969197201,82.5174825174825,83.1683168316832
"Dcn","Dcn","neonate",0.367962991302896,-0.233889292191448,204526.5,0.472031433912622,0.0014811702022171,0.0292987196951782,8.97435897435897,14.4554455445545
"Ins1","Ins1","neonate",0.243439457633295,-0.240315774700642,206519,0.476629970689377,0.00164145344298964,0.0308779072200128,5.94405594405594,10.2970297029703
"Clu","Clu","neonate",0.151746869601215,-0.259351580395102,202661.5,0.467727157331118,1.99479053046774e-06,0.000180800559897848,3.84615384615385,10.2970297029703
"Emp3","Emp3","neonate",0.35171218457779,-0.279181252657473,202046.5,0.466307784624616,0.000134776627647678,0.00516816529864366,8.62470862470862,15.2475247524752
"Hsp90aa1","Hsp90aa1","neonate",0.629886332864428,-0.284685918530942,201903.5,0.465977751621316,0.00149873089714553,0.0292987196951782,14.9184149184149,21.7821782178218
"B2m","B2m","neonate",2.9425171961991,-0.351317841680754,186438.5,0.43028572087978,1.02848550333879e-05,0.000603176498134572,62.3543123543124,65.9405940594059
"H2-DMb2","H2-DMb2","neonate",2.49629352460703,-0.35819856347835,195109.5,0.4502977220799,0.00128873957523614,0.0274794969450113,53.030303030303,58.4158415841584
"H2-K1","H2-K1","neonate",2.24883893148117,-0.376893246646439,193395,0.446340787924946,0.000428692238717668,0.0127854636821687,49.1841491841492,55.0495049504951
"S100a6","S100a6","neonate",0.998228129027353,-0.382006520706203,197663,0.456191003715756,0.000421126407275775,0.0127854636821687,23.0769230769231,29.9009900990099
"Cxcl13","Cxcl13","neonate",0.244807264269656,-0.3833075067391,199215.5,0.45977405432851,3.92807480848308e-07,4.89536323007203e-05,5.82750582750583,13.6633663366337
"Ciita","Ciita","neonate",1.09071237492314,-0.387934624839905,196386,0.453243785917053,0.000281245394403043,0.00934672194066114,25.5244755244755,33.0693069306931
"H2-Eb1","H2-Eb1","neonate",2.35509679646362,-0.408169862407506,192414.5,0.444077869325394,0.000260702696262292,0.00896277890253467,50.3496503496504,56.6336633663366
"Cr2","Cr2","neonate",0.91295542188306,-0.478176529840911,192395,0.444032864824944,5.79827870800869e-06,0.00038613318124393,21.4452214452214,31.4851485148515
"H2-Aa","H2-Aa","neonate",1.49229167703068,-0.487829085002507,190044,0.438606937616839,1.18540767537473e-05,0.000656584140193672,33.7995337995338,42.1782178217822
"Cd74","Cd74","neonate",4.53893521296373,-0.568487106030813,161939.5,0.373743912852824,5.71773617853364e-15,1.14011659399961e-12,82.8671328671329,86.9306930693069
"H2-Ab1","H2-Ab1","neonate",2.28049248409143,-0.577081507031731,185105,0.427208105425927,1.9389890475655e-06,0.000180800559897848,48.7179487179487,58.4158415841584
"Ighd","Ighd","neonate",2.09001373405664,-0.57743413464386,185902,0.429047520136629,2.63611241841604e-06,0.000219017006763399,45.4545454545455,55.8415841584158
"Cd55","Cd55","neonate",1.77464822380425,-0.601186227687472,184910.5,0.426759214382977,5.96495477286091e-07,6.60784434282481e-05,39.3939393939394,50.6930693069307
